ID;UNIDADE ESPORTIVA;TIPO;TIPO ADMINISTRACAO;SITUACAO;PREFEITURA REGIONAL;DISTRITO;EQUIPAMENTOS;QUANTIDADE DE EQUIPAMENTOS DA UNIDADE
1;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO;2
2;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;QUADRA POLIESPORTIVA;1
3;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO 4;1
4;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA DE BRINQUEDOTECA;1
5;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;PISCINA;1
6;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;ESTACAO DE EXERCICIOS;1
7;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO 2;1
8;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;CANCHA DE BOCHA;1
9;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO 3;1
10;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;AREA LIVRE;1
11;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO 3;1
12;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;ESTACAO DE EXERCICIOS;1
13;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO;3
14;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;QUADRA POLIESPORTIVA;1
15;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO 2;1
16;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;PLAY GROUND;1
17;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;PISCINA;1
18;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;QUADRA DE TENIS;1
19;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO;2
20;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;QUADRA POLIESPORTIVA;1
21;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO 3;2
22;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO 4;1
23;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO 5;1
24;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO 2;1
25;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;PISCINA;1
26; BALNEARIO MARIO MORAES;BALNEARIO;DIRETA;ATIVA;VILA SONIA;BUTANTA;PISCINA;1
27; BALNEARIO MARIO MORAES;BALNEARIO;DIRETA;ATIVA;VILA SONIA;BUTANTA;SALA MULTIUSO 4;1
28; BALNEARIO MARIO MORAES;BALNEARIO;DIRETA;ATIVA;VILA SONIA;BUTANTA;SALA MULTIUSO 2;1
29; BALNEARIO MARIO MORAES;BALNEARIO;DIRETA;ATIVA;VILA SONIA;BUTANTA;SALA MULTIUSO 3;1
30; BALNEARIO MARIO MORAES;BALNEARIO;DIRETA;ATIVA;VILA SONIA;BUTANTA;AREA LIVRE;1
31;BALNEARIO PRINCESA ISABEL;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO;1
32;CEE ALFREDO IGNACIO TRINDADE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;QUADRA POLIESPORTIVA;3
33;CEE ALFREDO IGNACIO TRINDADE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;PISCINA;3
34;CEE ALFREDO IGNACIO TRINDADE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO;7
35;CEE ALFREDO IGNACIO TRINDADE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;CAMPO DE FUTEBOL;1
36;CEE ALFREDO IGNACIO TRINDADE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;CANCHA DE BOCHA;1
37;CEE ALFREDO IGNACIO TRINDADE;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;QUADRA DE TENIS;1
38;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;CANCHA DE BOCHA;1
39;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;SALA MULTIUSO;3
40;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;SALA MULTIUSO 2;1
41;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;MINICAMPO DE FUTEBOL;1
42;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;QUADRA POLIESPORTIVA;4
43;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;GINASIO POLIESPORTIVO;1
44;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;AREA LIVRE;1
45;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;QUADRA DE TENIS;1
46;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;PLAY GROUND;1
47;CEE AURELIO DE CAMPOS;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;FREGUESIA/BRASILANDIA;FREGUESIA DO O;CAMPO DE FUTEBOL;1
48; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;AREA LIVRE;1
49; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;SALA MULTIUSO;2
50; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;GINASIO POLIESPORTIVO;1
51; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;QUADRA DE VOLEIBOL;1
52; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;QUADRA DE BASQUETE;1
53; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;PLAY GROUND;1
54; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;PISTA DE AEROMODELISMO;1
55; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;ESTACAO DE EXERCICIOS;1
56; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;SALA MULTIUSO 2;1
57; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;QUADRA DE TENIS;4
58; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;CAMPO DE FUTEBOL;1
59; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;CAMPO DE SOCIETY;3
60; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;PISCINA;2
61; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;PISTA DE ATLETISMO;1
62; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;MINIQUADRA DE ESPORTES;1
63; CEE EDSON ARANTES DO NASCIMENTO;CENTRO EDUCACIONAL E ESPORTIVO;DIRETA;ATIVA;LAPA;LAPA;JARDIM JAPONES;1
